danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.488,0.98,-3.205,0.0449,3.48e-06,0.148,0.25,0.544,140.045,4NPwG8bMFoBPqCKUi02e7I,207453
0.928,0.473,-8.037,0.306,0.17,0.0,0.0837,0.396,130.201,7eUqK99sI3NBMyU2XAVYZB,133068
0.589,0.62,-10.635,0.0357,0.161,0.00459,0.115,0.969,129.981,7nTqhnepEFkQDCtWh2bKv7,207000
0.783,0.6,-6.482,0.0505,0.0364,5.4e-05,0.109,0.749,139.945,4rFL7mC4irXn844XkHHzyl,203444
0.586,0.621,-6.321,0.0423,0.461,7.39e-05,0.263,0.517,72.516,3u6qjHq0y3rmXRQa4iz9OD,224080
0.3,0.771,-6.495,0.0685,0.574,0.0106,0.309,0.865,137.811,6xxAr3lcYtrKkPzJa87u0g,126413
0.797,0.703,-4.756,0.0579,0.0363,0.0,0.111,0.413,122.044,3ZG2CsczcYoUQnFiqO0FSy,168000
0.497,0.285,-7.568,0.0506,0.91,0.0,0.23,0.604,84.085,49zUAu9agEV5FhVQ3elHMj,101820
0.691,0.902,-6.64,0.128,0.231,0.0,0.0918,0.932,152.089,7KZTvFqBB4GUA1nAMf9ZJ7,240771
0.417,0.563,-7.391,0.0296,0.0342,0.112,0.0946,0.384,80.003,0BwlbW42QQj8xHABX53WVi,161226
0.546,0.383,-10.518,0.0272,0.671,0.0,0.0702,0.324,73.389,59GPuKaImwVCqcYRm1xrkY,220107
0.896,0.682,-7.323,0.22,0.255,0.0,0.152,0.693,107.007,6iu0Ucjgf6GjMraB0ZdWki,173832
0.377,0.681,-8.039,0.0298,0.00088,0.0023,0.0504,0.285,108.789,1QEEqeFIZktqIpPI4jSVSF,285133
0.586,0.738,-6.732,0.0304,0.00204,0.59,0.144,0.22,118.117,0kfVCZ0L1Y07NT144vRZjw,300347
0.661,0.664,-9.36,0.0396,0.576,0.00548,0.492,0.966,112.596,0eVCqOSvJZG6olQKwHXYLT,275973
0.736,0.146,-14.31,0.162,0.99,0.826,0.0812,0.797,72.873,6eHl0fy0wD18iyJTrY9C57,165693
0.731,0.478,-7.109,0.0394,0.949,0.943,0.101,0.925,126.004,7i4H1zqeVH2TmVVCqLqdVj,184653
0.574,0.771,-5.461,0.0402,0.707,0.0,0.141,0.962,125.092,37Fepha6V96wzsNaSVjm7P,151933
0.476,0.652,-4.546,0.104,0.23,0.0,0.136,0.47,190.118,2D0FX6WiP1GKGL3yCdXxs7,184659
0.551,0.982,-2.544,0.118,0.0047,8.18e-06,0.425,0.852,159.994,5TDU6FxtwdFzLvNgO0XAkj,215000
0.866,0.424,-7.307,0.294,0.225,0.00741,0.129,0.415,97.976,5jfkErsgpDgdMQzO563tNL,208163
0.509,0.218,-15.902,0.0348,0.877,0.842,0.115,0.37,87.204,6cvKWfzh1NTJMWXaAIVt63,238462
0.431,0.425,-8.698,0.0262,0.156,4.47e-05,0.118,0.101,92.017,3IiyBE4REzaKqYxiwqbPLn,219160
0.525,0.594,-14.033,0.0907,0.161,0.949,0.0751,0.0703,157.917,0rib9hiYy1NWL0w8BUYgmd,223640
0.612,0.939,-4.206,0.0412,0.0763,0.119,0.749,0.543,125.981,2dngx6srtqsxvyh7oGV8FM,277360
0.363,0.876,-6.53,0.111,0.0514,2.87e-06,0.0991,0.408,110.019,5wwbe5wtc4pd9RDlFNXeFg,227213
0.285,0.959,-4.242,0.0784,2.67e-05,0.00522,0.0289,0.53,167.086,6ts28gjP7R3HsPMd3zEsc7,166187
0.65,0.9,-4.099,0.374,0.0252,0.0,0.176,0.659,89.788,4C7Ss9bTPOWJMh3rarF1mN,206493
0.656,0.932,-3.405,0.0708,0.00347,0.00147,0.144,0.544,130.936,7CpbhqKUedOIrcvc94p60Y,201960
0.463,0.883,-5.735,0.046,0.00266,1.02e-06,0.353,0.896,180.027,24gq8lBC6Zkecb8wpVGVUW,211413
0.666,0.709,-8.672,0.0277,0.251,1.4e-05,0.237,0.705,119.688,5QJb5iWgjUtPjPMtDNzAvr,166133
0.576,0.9,-2.879,0.124,0.0118,0.0,0.628,0.75,75.046,245q31NvaFNkMw8QRVy23b,202093
0.637,0.512,-10.027,0.0978,0.59,0.000464,0.0712,0.33,109.492,1NlWBpNYAnFT7gMGyC0Y1M,179027
0.604,0.573,-7.804,0.037,0.289,0.0406,0.133,0.581,107.862,4vsoWZcvtvSsE0OiVvDDvX,206947
0.449,0.451,-8.156,0.0319,0.109,0.000588,0.131,0.127,135.761,6grsQVThiLAQSJowUSw5s8,402626
0.849,0.559,-12.87,0.0613,0.0112,0.763,0.0728,0.321,112.024,2iR0mXh8lpo3TK3ot8MBua,471501
0.703,0.498,-8.84,0.0276,0.0647,0.643,0.115,0.299,95.01,0mP794DC011KhYyhqwy8rQ,131307
0.136,0.00215,-33.623,0.0455,0.925,0.817,0.095,0.0343,67.749,6lgDvkxcWNnCefaT2qeJPf,405573
0.0768,0.319,-18.689,0.0641,0.949,0.827,0.117,0.0314,175.144,49x4IgbzT2xTYNFZpwttww,647520
0.501,0.407,-19.281,0.0366,0.552,0.907,0.253,0.0959,102.956,0DxV8iMQuWxo8tbyK4g2w3,391164
0.238,0.182,-16.154,0.0304,0.961,0.397,0.115,0.0699,86.573,05OsKzq1tm0SY5Hk4lZQRE,191250
0.577,0.896,-5.692,0.0563,0.00248,0.801,0.133,0.703,107.013,3A9h3Tso3Kpc7v1IwBOWT1,231028
0.0904,0.0925,-22.369,0.0377,0.917,0.951,0.103,0.0495,79.723,5Lff3yoxs6NOohYBUnz4Lm,271200
0.228,0.37,-15.7,0.0445,0.892,0.903,0.101,0.164,68.617,1ifw7nn9UrkIDrig7GJlIB,571705
0.673,0.27,-13.472,0.0272,0.145,0.841,0.206,0.172,94.492,2CZAn6D2A4hX7aTQ8phALr,331186
0.237,0.118,-28.361,0.0512,0.684,0.669,0.0772,0.0667,105.537,6bLhT71JTZv5FfNH6S2Jei,166307
0.224,0.139,-22.587,0.0354,0.961,0.913,0.108,0.213,111.316,6Q5uDNuuFYa8ToL3CCoHPC,196893
0.408,0.136,-17.702,0.0319,0.869,0.906,0.243,0.108,107.105,6phzRtzX5AMmgRVhB02Xas,180915
0.663,0.569,-9.483,0.0403,0.0945,0.785,0.164,0.227,144.995,16YbTdwtzQchBwe3ovo9yX,365793
0.388,0.405,-26.682,0.05,0.562,0.969,0.159,0.0333,119.713,3P5e77I40H0fzHFjJ9q7xJ,128964
0.219,0.033,-30.328,0.0475,0.955,0.902,0.129,0.232,72.223,5vhuCnEAcQcUz1SyKpbPG5,381400
0.253,0.0754,-21.786,0.0359,0.934,0.943,0.0813,0.0365,80.114,1JwdRJp8FAd2C5rgj97ray,163887
0.232,0.169,-16.069,0.0383,0.958,0.774,0.109,0.0515,68.574,2wOAeV7IE1vxJDn6LsaywO,539053
0.159,0.0181,-26.629,0.0454,0.989,0.607,0.0616,0.035,132.842,0xmyzDblNF2iyiQTdGtG9u,215053
0.494,0.016,-32.307,0.0426,0.995,0.922,0.136,0.118,98.224,7wEql4SrP9nL5U4zxmcrVM,295840
0.383,0.000885,-31.958,0.0567,0.984,0.829,0.0919,0.108,63.167,3ZoVpx6ozoxcmOy5eVhmQf,367557
0.24,0.0309,-27.569,0.0578,0.991,0.00052,0.0691,0.0395,83.457,00YwKTnP2LKlNPa8Pe1jz2,211708
0.448,0.175,-13.638,0.0448,0.938,0.0406,0.191,0.324,61.328,3q1Bx4GURmhkVafAtU5tOQ,174680
0.218,0.963,-5.591,0.167,1.6e-06,0.777,0.183,0.189,117.935,7ilYZwPdmnUCYrTdxEGxki,63053
0.348,0.977,-4.405,0.143,0.000936,0.0015,0.0775,0.138,139.97,2dDlRT8gT5jCBm5m5qkneI,500804
0.535,0.986,-2.406,0.204,0.00246,0.0904,0.102,0.281,134.958,7CPYzk4nmFyDkKhRUFgUlo,163000
0.221,0.17,-17.857,0.0414,0.987,0.92,0.0725,0.106,73.488,3s5L9EWDNXfUlwHhba4wUv,388613
0.359,0.903,-4.263,0.0361,0.0269,0.0,0.133,0.865,177.414,0EumBc0mD6sFoKfJ5LRSAv,124720
0.0653,0.0359,-26.799,0.0421,0.957,0.944,0.128,0.0412,62.105,4CZq7M6hBTg77Qhp3TJHdN,385858
0.467,0.659,-8.717,0.0261,0.495,0.955,0.102,0.11,104.976,2j3qLgBCLoLhv4zbzNmc16,354320
0.541,0.215,-15.546,0.0346,0.906,0.9,0.115,0.503,99.782,1vUVznRKr4jE5dxoHVwSYv,137280
